,MES_ANO,STATUS,ESTADO,TAMANHO_TEXTO
0,01/2022,Não respondida,PE,566
1,01/2022,Não respondida,BA,231
2,01/2022,Respondida,PE,597
3,01/2022,Não respondida,GO,1094
4,01/2022,Respondida,CE,314
5,01/2022,Respondida,BA,851
6,01/2022,Não respondida,SP,878
7,01/2022,Resolvido,BA,455
8,01/2022,Não respondida,BA,504
9,01/2022,Respondida,BA,1375
10,01/2022,Não respondida,PE,1740
11,01/2022,Não respondida,MA,1575
12,01/2022,Não respondida,GO,327
13,01/2022,Não respondida,PA,1035
14,01/2022,Respondida,PE,993
15,01/2022,Não respondida,BA,1234
16,01/2022,Não respondida,SP,877
17,01/2022,Não respondida,PE,522
18,01/2022,Respondida,AL,157
19,01/2022,Não respondida,CE,482
20,01/2022,Respondida,RN,162
21,01/2022,Respondida,CE,833
22,01/2022,Não respondida,CE,2147
23,01/2022,Resolvido,BA,788
24,01/2022,Resolvido,PE,365
25,01/2022,Não respondida,BA,1444
26,01/2022,Não respondida,GO,316
27,01/2022,Não respondida,CE,425
28,01/2022,Não respondida,PE,597
29,01/2022,Respondida,GO,350
30,01/2022,Não respondida,BA,709
31,01/2022,Não respondida,RN,722
32,01/2022,Não respondida,CE,651
33,01/2022,Respondida,SP,385
34,01/2022,Respondida,RN,654
35,01/2022,Respondida,CE,640
36,01/2022,Respondida,PB,2352
37,01/2022,Não respondida,SP,471
38,01/2022,Respondida,AL,469
39,01/2022,Não respondida,BA,153
40,01/2022,Não respondida,BA,2155
41,01/2022,Não respondida,PB,418
42,01/2022,Não respondida,RN,136
43,01/2022,Não respondida,SP,796
44,01/2022,Não respondida,--,1135
45,01/2022,Não respondida,GO,826
46,01/2022,Não respondida,SP,852
47,01/2022,Não respondida,MS,1240
48,01/2022,Não respondida,MS,253
49,01/2022,Resolvido,MS,96
50,01/2022,Respondida,SP,328
51,01/2022,Em réplica,SP,418
52,01/2022,Respondida,AL,110
53,01/2022,Respondida,PE,859
54,01/2022,Não respondida,BA,391
55,01/2022,Não respondida,ES,566
56,01/2022,Respondida,BA,675
57,01/2022,Não respondida,MS,349
58,01/2022,Não respondida,MA,1080
59,01/2022,Não respondida,BA,131
60,01/2022,Não respondida,SP,233
61,01/2022,Não respondida,SP,347
62,01/2022,Não respondida,SP,877
63,01/2022,Em réplica,CE,174
64,01/2022,Respondida,PE,255
65,01/2022,Respondida,CE,1627
66,02/2022,Não respondida,CE,2230
67,02/2022,Respondida,BA,403
68,02/2022,Não respondida,GO,1489
69,02/2022,Respondida,PE,676
70,02/2022,Respondida,CE,1128
71,02/2022,Respondida,CE,783
72,02/2022,Respondida,CE,305
73,02/2022,Não respondida,GO,818
74,02/2022,Não respondida,PE,893
75,02/2022,Respondida,SP,319
76,02/2022,Não respondida,CE,645
77,02/2022,Não respondida,PB,1316
78,02/2022,Respondida,PB,222
79,02/2022,Respondida,RN,156
80,02/2022,Respondida,PE,1374
81,02/2022,Respondida,AM,421
82,02/2022,Não respondida,CE,615
83,02/2022,Respondida,CE,203
84,02/2022,Não respondida,MT,367
85,02/2022,Não respondida,CE,147
86,02/2022,Não respondida,PE,1211
87,02/2022,Respondida,AL,463
88,02/2022,Respondida,PE,413
89,02/2022,Respondida,CE,929
90,02/2022,Resolvido,RN,356
91,02/2022,Não respondida,BA,120
92,02/2022,Respondida,SP,276
93,02/2022,Não respondida,PE,997
94,02/2022,Resolvido,CE,293
95,02/2022,Resolvido,PE,1427
96,02/2022,Não respondida,CE,663
97,02/2022,Não respondida,SP,570
98,02/2022,Respondida,PA,739
99,02/2022,Não respondida,PE,1290
100,02/2022,Resolvido,RN,1214
101,02/2022,Não respondida,BA,699
102,02/2022,Não respondida,MS,93
103,02/2022,Não respondida,RN,223
104,02/2022,Respondida,PA,301
105,02/2022,Não respondida,BA,179
106,02/2022,Não respondida,AL,248
107,02/2022,Resolvido,SP,516
108,02/2022,Não respondida,SP,292
109,02/2022,Não respondida,CE,518
110,02/2022,Respondida,PE,550
111,02/2022,Não respondida,GO,319
112,02/2022,Não respondida,SP,2609
113,02/2022,Não respondida,GO,987
114,02/2022,Não respondida,SP,1123
115,03/2022,Não respondida,CE,385
116,03/2022,Respondida,CE,583
117,03/2022,Não respondida,AL,100
118,03/2022,Respondida,BA,1790
119,03/2022,Não respondida,GO,228
120,03/2022,Não respondida,CE,703
121,03/2022,Respondida,CE,504
122,03/2022,Não respondida,SE,732
123,03/2022,Respondida,PE,75
124,03/2022,Respondida,PE,4519
125,03/2022,Não respondida,CE,72
126,03/2022,Respondida,SP,891
127,03/2022,Não respondida,PE,882
128,03/2022,Respondida,RN,275
129,03/2022,Não respondida,BA,803
130,03/2022,Não respondida,SP,197
131,03/2022,Respondida,PB,322
132,03/2022,Não respondida,BA,522
133,04/2022,Respondida,PE,207
134,04/2022,Respondida,CE,168
135,04/2022,Não respondida,CE,799
136,04/2022,Não respondida,GO,408
137,04/2022,Não respondida,BA,912
138,04/2022,Não respondida,SP,2734
139,04/2022,Não respondida,GO,612
140,04/2022,Resolvido,PE,206
141,04/2022,Não respondida,SE,1096
142,04/2022,Respondida,AM,601
143,04/2022,Não respondida,SP,418
