,TAMANHO_TEXTO
0,566
1,231
2,597
3,1094
4,314
5,851
6,878
7,455
8,504
9,1375
10,1740
11,1575
12,327
13,1035
14,993
15,1234
16,877
17,522
18,157
19,482
20,162
21,833
22,2147
23,788
24,365
25,1444
26,316
27,425
28,597
29,350
30,709
31,722
32,651
33,385
34,654
35,640
36,2352
37,471
38,469
39,153
40,2155
41,418
42,136
43,796
44,1135
45,826
46,852
47,1240
48,253
49,96
50,328
51,418
52,110
53,859
54,391
55,566
56,675
57,349
58,1080
59,131
60,233
61,347
62,877
63,174
64,255
65,1627
66,2230
67,403
68,1489
69,676
70,1128
71,783
72,305
73,818
74,893
75,319
76,645
77,1316
78,222
79,156
80,1374
81,421
82,615
83,203
84,367
85,147
86,1211
87,463
88,413
89,929
90,356
91,120
92,276
93,997
94,293
95,1427
96,663
97,570
98,739
99,1290
100,1214
101,699
102,93
103,223
104,301
105,179
106,248
107,516
108,292
109,518
110,550
111,319
112,2609
113,987
114,1123
115,385
116,583
117,100
118,1790
119,228
120,703
121,504
122,732
123,75
124,4519
125,72
126,891
127,882
128,275
129,803
130,197
131,322
132,522
133,207
134,168
135,799
136,408
137,912
138,2734
139,612
140,206
141,1096
142,601
143,418
144,459
145,757
146,1409
147,242
148,313
149,810
150,1338
151,1616
152,592
153,1836
154,708
155,427
156,446
157,1534
158,401
159,142
160,575
161,1670
162,222
163,1010
164,1470
165,898
166,912
167,891
168,487
169,560
170,492
171,2029
172,465
173,231
174,634
175,645
176,1164
177,982
178,78
179,92
180,611
181,659
182,364
183,319
184,205
185,240
186,369
187,540
188,545
189,230
190,660
191,205
192,857
193,985
194,543
195,444
196,302
197,1269
198,143
199,152
200,1367
201,710
202,1364
203,393
204,901
205,402
206,575
207,48
208,492
209,850
210,227
211,706
212,591
213,256
214,1314
215,1363
216,578
217,151
218,427
219,492
220,368
221,387
222,556
223,375
224,426
225,788
226,333
227,548
228,318
229,762
230,368
231,1161
232,220
233,312
234,1040
235,1484
236,458
237,878
238,521
239,167
240,269
241,2639
242,121
243,290
244,722
245,375
246,137
247,367
248,1696
249,421
250,1906
251,217
252,615
253,647
254,1189
255,582
256,916
257,800
258,648
259,2191
260,1066
261,370
262,506
263,275
264,180
265,305
266,1445
267,365
268,519
269,273
270,1237
271,888
272,542
273,556
274,1189
275,553
276,763
277,2052
278,203
279,454
280,810
281,210
282,205
283,783
284,434
285,2547
286,372
287,1105
288,660
289,202
290,1078
291,1508
292,335
293,750
294,308
295,458
296,673
297,765
298,142
299,484
300,750
301,1343
302,1015
303,1777
304,843
305,167
306,249
307,1723
308,789
309,301
310,619
311,1862
312,294
313,191
314,248
315,503
316,737
317,2004
318,797
319,2633
320,2692
321,1139
322,281
323,474
324,689
325,509
326,643
327,477
328,359
329,484
330,872
331,439
332,911
333,357
334,767
335,534
336,1071
337,988
338,356
339,456
340,86
341,525
342,315
343,416
344,1126
345,187
346,1293
347,278
348,1306
349,1233
350,234
351,170
352,513
353,260
354,491
355,687
356,260
357,1148
358,83
359,318
360,1264
361,193
362,629
363,466
364,1595
365,1788
366,953
367,1102
368,394
369,461
370,812
371,650
372,419
373,821
374,194
375,349
376,187
377,564
378,347
379,466
380,1065
381,797
382,848
383,1796
384,275
385,870
386,264
387,444
388,501
389,108
390,331
391,1583
392,1983
393,1606
394,78
395,251
396,194
397,780
398,431
399,623
400,899
401,372
402,156
403,2293
404,314
405,440
406,832
407,387
408,136
409,1228
410,236
411,515
412,596
413,552
414,2189
415,439
416,293
417,691
418,518
419,938
420,338
421,1804
422,336
423,396
424,455
425,1332
426,211
427,929
428,530
429,455
430,653
431,346
432,370
433,421
434,259
435,646
436,320
437,1389
438,724
439,1053
440,1082
441,676
442,972
443,1333
444,615
445,551
446,1064
447,2043
448,554
449,862
450,3259
451,446
452,1108
453,371
454,274
455,1556
456,624
457,868
458,547
459,613
460,368
461,358
462,420
463,166
464,1071
465,1585
466,453
467,326
468,505
469,246
470,210
471,188
472,275
473,163
474,292
475,826
476,226
477,295
478,697
479,508
480,624
481,188
482,303
483,600
484,273
485,208
486,318
487,426
488,553
489,1891
490,1026
491,643
492,1465
493,594
494,1129
495,712
496,953
497,1348
498,573
499,559
500,940
501,1294
502,1156
503,430
504,379
505,1096
506,244
507,234
508,417
509,278
510,630
511,550
512,733
513,228
514,668
515,310
516,291
517,291
518,867
519,393
520,742
521,408
522,915
523,550
524,644
525,754
526,474
527,784
528,370
529,268
530,140
531,568
