,MES_ANO,STATUS,ESTADO,TAMANHO_TEXTO
0,02/2016,Resolvido,CE,593
1,03/2016,Em réplica,MG,776
2,03/2016,Respondida,CE,1240
3,04/2016,Em réplica,CE,1973
4,05/2016,Respondida,CE,317
5,05/2016,Em réplica,MG,648
6,06/2016,Resolvido,CE,2768
7,06/2016,Em réplica,CE,758
8,06/2016,Resolvido,SP,416
9,07/2016,Não resolvido,CE,302
10,08/2016,Respondida,CE,1638
11,08/2016,Resolvido,CE,526
12,08/2016,Resolvido,CE,616
13,09/2016,Respondida,CE,2578
14,09/2016,Resolvido,CE,483
15,09/2016,Resolvido,CE,402
16,09/2016,Não resolvido,RN,1309
17,09/2016,Resolvido,CE,446
18,09/2016,Resolvido,CE,352
19,09/2016,Resolvido,CE,1298
20,09/2016,Resolvido,CE,754
21,09/2016,Resolvido,CE,621
22,09/2016,Resolvido,CE,413
23,09/2016,Resolvido,CE,306
24,09/2016,Respondida,CE,1497
25,09/2016,Não resolvido,CE,937
26,09/2016,Respondida,CE,832
27,09/2016,Resolvido,CE,255
28,09/2016,Resolvido,CE,758
29,09/2016,Resolvido,CE,132
30,09/2016,Resolvido,CE,269
31,09/2016,Resolvido,CE,480
32,10/2016,Respondida,CE,377
33,10/2016,Respondida,PE,512
34,10/2016,Respondida,CE,385
35,10/2016,Resolvido,PI,2560
36,10/2016,Em réplica,CE,3069
37,10/2016,Não resolvido,RN,1265
38,10/2016,Em réplica,CE,1511
39,10/2016,Respondida,CE,794
40,10/2016,Não resolvido,RN,425
41,10/2016,Resolvido,CE,1919
42,10/2016,Respondida,PE,170
43,10/2016,Respondida,CE,1319
44,11/2016,Respondida,PR,262
45,11/2016,Respondida,PE,1769
46,11/2016,Respondida,CE,823
47,11/2016,Resolvido,CE,1301
48,11/2016,Respondida,PI,774
49,11/2016,Respondida,PE,1282
50,11/2016,Resolvido,CE,381
51,11/2016,Respondida,RN,826
52,12/2016,Resolvido,CE,306
53,12/2016,Resolvido,CE,1379
54,12/2016,Respondida,CE,2075
55,12/2016,Respondida,CE,569
56,12/2016,Em réplica,MG,770
57,12/2016,Respondida,CE,661
58,12/2016,Respondida,PA,461
59,12/2016,Respondida,MG,309
60,12/2016,Respondida,CE,712
61,12/2016,Respondida,CE,646
62,12/2016,Respondida,GO,347
63,12/2016,Respondida,CE,1059
64,12/2016,Respondida,CE,2627
65,12/2016,Não resolvido,CE,1289
66,12/2016,Resolvido,SP,344
67,12/2016,Em réplica,CE,1474
68,12/2016,Respondida,SP,439
69,01/2017,Não resolvido,RN,2371
70,01/2017,Respondida,CE,299
71,01/2017,Respondida,CE,474
72,01/2017,Resolvido,CE,974
73,01/2017,Respondida,CE,980
74,01/2017,Respondida,CE,340
75,01/2017,Respondida,MA,271
76,01/2017,Em réplica,CE,647
77,01/2017,Respondida,PI,1421
78,01/2017,Respondida,PE,962
79,01/2017,Resolvido,CE,625
80,01/2017,Respondida,CE,674
81,01/2017,Não resolvido,CE,4112
82,01/2017,Não resolvido,PE,1096
83,01/2017,Respondida,RN,3473
84,01/2017,Em réplica,SP,319
85,02/2017,Respondida,CE,2619
86,02/2017,Respondida,CE,1020
87,02/2017,Em réplica,PR,596
88,02/2017,Resolvido,GO,1450
89,02/2017,Respondida,SP,247
