,TAMANHO_TEXTO
0,593
1,776
2,1240
3,1973
4,317
5,648
6,2768
7,758
8,416
9,302
10,1638
11,526
12,616
13,2578
14,483
15,402
16,1309
17,446
18,352
19,1298
20,754
21,621
22,413
23,306
24,1497
25,937
26,832
27,255
28,758
29,132
30,269
31,480
32,377
33,512
34,385
35,2560
36,3069
37,1265
38,1511
39,794
40,425
41,1919
42,170
43,1319
44,262
45,1769
46,823
47,1301
48,774
49,1282
50,381
51,826
52,306
53,1379
54,2075
55,569
56,770
57,661
58,461
59,309
60,712
61,646
62,347
63,1059
64,2627
65,1289
66,344
67,1474
68,439
69,2371
70,299
71,474
72,974
73,980
74,340
75,271
76,647
77,1421
78,962
79,625
80,674
81,4112
82,1096
83,3473
84,319
85,2619
86,1020
87,596
88,1450
89,247
90,1445
91,1331
92,292
93,172
94,890
95,345
96,328
97,1041
98,53
99,1071
100,2954
101,590
102,1008
103,1913
104,691
105,103
106,1039
107,523
108,1352
109,987
110,939
111,218
112,606
113,429
114,935
115,445
116,2284
117,1595
118,400
119,1112
120,301
121,4078
122,862
123,829
124,649
125,1056
126,1465
127,1149
128,1984
129,1303
130,1460
131,356
132,648
133,434
134,2855
135,937
136,391
137,554
138,2507
139,1834
140,408
141,774
142,3801
143,493
144,95
145,486
146,1382
147,358
148,165
149,569
150,501
151,1690
152,678
153,428
154,597
155,293
156,603
157,406
158,892
159,1372
160,1120
161,813
162,1167
163,1889
164,1031
165,1622
166,2023
167,570
168,846
169,308
170,557
171,466
172,526
173,1149
174,334
175,1799
176,691
177,2105
178,272
179,1789
180,768
181,562
182,1649
183,405
184,301
185,1941
186,1950
187,5462
188,2240
189,1447
190,1152
191,1887
192,3054
193,1054
194,807
195,949
196,1419
197,380
198,399
199,338
200,2280
201,172
202,2034
203,1304
204,2935
205,497
206,472
207,1195
208,198
209,305
210,297
211,1076
212,467
213,940
214,1106
215,1401
216,342
217,1101
218,1257
219,739
220,804
221,193
222,981
223,2198
224,642
225,290
226,705
227,1398
228,979
229,1258
230,326
231,129
232,363
233,1468
234,673
235,1186
236,614
237,906
238,643
239,477
240,515
241,1362
242,537
243,1387
244,749
245,209
246,102
247,1163
248,289
249,1915
250,598
251,234
252,1550
253,657
254,1370
255,1509
256,500
257,1392
258,192
259,724
260,1011
261,484
262,1109
263,101
264,1515
265,1461
266,577
267,2123
268,799
269,813
270,1724
271,900
272,1290
273,702
274,435
275,3400
276,115
277,1644
278,1437
279,1296
280,225
281,1855
282,1812
283,2009
284,386
285,390
286,248
287,259
288,241
289,530
290,417
291,6402
292,1287
293,1433
294,2470
295,888
296,925
297,1160
298,1160
299,1034
300,666
301,729
302,419
303,253
304,496
305,163
306,1610
307,741
308,1126
309,499
310,963
311,1522
312,569
313,620
314,2389
315,949
316,2007
317,386
318,353
319,472
320,1526
321,318
322,3202
323,473
324,1173
325,1269
326,1720
327,770
328,534
329,1809
330,437
331,1381
332,4105
333,437
334,260
335,463
336,200
337,875
338,464
339,983
340,370
341,4576
342,457
343,869
344,772
345,1043
346,593
347,1189
348,1176
349,929
350,512
351,1904
352,244
353,1452
354,232
355,1007
356,495
357,1453
358,594
359,1429
360,264
361,300
362,1220
363,784
364,437
365,432
366,973
367,1664
368,540
369,223
370,815
371,498
372,1092
373,454
374,1524
375,797
376,906
377,383
378,933
379,1181
380,477
381,1348
382,149
383,251
384,100
385,450
386,123
387,198
388,688
389,231
390,878
391,125
392,945
393,1331
394,1738
395,1590
396,5894
397,1170
398,458
399,466
400,799
401,2212
402,1509
403,521
404,920
405,456
406,821
407,561
408,985
409,343
410,1155
411,561
412,629
413,213
414,1244
415,1183
416,378
417,325
418,568
419,106
420,354
421,2243
422,282
423,1691
424,890
425,693
426,1530
427,1202
428,257
429,731
430,268
431,421
432,363
433,792
434,1372
435,687
436,738
437,2501
438,343
439,699
440,385
441,839
442,1133
443,2520
444,449
445,634
446,532
447,313
448,515
449,642
450,1210
451,521
452,600
453,343
454,83
455,1178
456,1594
457,365
458,1247
459,347
460,582
461,744
462,732
463,1654
464,604
465,1699
466,2706
467,92
468,1281
469,1933
470,1059
471,2900
472,843
473,392
474,1294
475,526
476,992
477,420
478,74
479,145
480,944
481,1225
482,580
483,1275
484,4050
485,1336
486,516
487,2022
488,257
489,804
490,229
491,550
492,599
493,908
494,558
495,452
496,433
497,474
498,1867
499,157
500,1274
501,389
502,622
503,2381
504,1962
505,280
506,179
507,451
508,337
509,720
510,262
511,1133
512,80
513,1338
514,1101
515,317
516,824
517,1879
518,720
519,630
520,484
521,1013
522,619
523,542
524,681
525,1394
526,2495
527,2341
528,361
529,687
530,112
531,1983
532,900
533,697
534,3151
535,1106
536,426
537,397
538,509
539,2618
540,207
541,232
542,1025
543,1736
544,1108
545,917
546,1230
547,1008
548,232
549,969
550,870
551,2478
552,890
553,832
554,71
555,802
556,305
557,209
558,236
559,1521
560,680
561,634
562,194
563,619
564,648
565,1988
566,422
567,1777
568,1737
569,860
570,54
571,1053
572,710
573,519
574,44
575,902
576,1111
577,217
578,974
579,1219
580,684
581,2410
582,1148
583,552
584,910
585,401
586,395
587,244
588,385
589,1177
590,607
591,250
592,222
593,1130
594,301
595,209
596,324
597,1280
598,1503
599,471
600,659
601,1445
602,383
603,915
604,755
605,568
606,1642
607,300
608,1643
609,950
610,1673
611,1021
612,103
613,1124
614,206
615,2656
616,2073
617,337
618,119
619,754
620,626
621,400
622,1254
623,720
624,2494
625,1240
626,233
627,868
628,1520
629,326
630,940
631,311
632,185
633,214
634,110
635,1813
636,1989
637,431
638,825
639,534
640,194
641,466
642,514
643,265
644,721
645,1478
646,1504
647,131
648,545
649,186
650,193
651,271
652,547
653,572
654,206
655,867
656,971
657,866
658,475
659,788
660,707
661,1933
662,830
663,707
664,221
665,522
666,820
667,734
668,842
669,729
670,688
671,325
672,2064
673,643
674,362
675,121
676,1549
677,945
678,454
679,3192
680,559
681,353
682,220
683,258
684,265
685,547
686,1902
687,335
688,227
689,110
690,1669
691,1432
692,220
693,135
694,336
695,784
696,647
697,475
698,1323
699,2718
700,820
701,658
702,540
703,1598
704,1442
705,947
706,1475
707,1771
708,2908
709,2375
710,1332
711,1255
712,1169
713,1572
714,623
715,1855
716,5407
717,659
718,2653
719,1235
720,151
721,974
722,2165
723,736
724,622
725,267
726,1142
727,292
728,1417
729,381
730,1074
731,184
732,455
733,876
734,1828
735,415
736,1025
737,795
738,3235
739,1923
740,1453
741,1235
742,1602
743,660
744,1153
745,217
746,877
747,284
748,172
749,726
750,1294
751,572
752,1290
753,419
754,711
755,1099
756,423
757,223
758,1151
759,122
760,401
761,1268
762,244
763,261
764,1442
765,195
766,404
767,2168
768,553
769,735
770,922
771,1692
772,738
773,249
774,928
775,1478
776,1076
777,465
778,548
779,902
780,393
781,529
782,269
783,662
784,834
785,857
786,122
787,764
788,194
789,1338
790,986
791,1587
792,838
793,2320
794,174
795,42
796,363
797,793
798,1753
799,1693
800,888
801,68
802,1036
803,926
804,603
805,741
806,1808
807,502
808,1230
809,629
810,1565
811,1452
812,2292
813,320
814,558
815,771
816,1641
817,173
818,1097
819,314
820,622
821,171
822,156
823,197
824,1406
825,1924
826,451
827,134
828,2932
829,815
830,537
831,1538
832,494
833,952
834,321
835,646
836,823
837,110
838,2503
839,337
840,1202
841,1066
842,384
843,937
844,579
845,624
846,392
847,567
848,5663
849,150
850,440
851,582
852,286
853,360
854,340
855,1164
856,113
857,214
858,3283
859,740
860,1104
861,664
862,133
863,213
864,613
865,587
866,610
867,1297
868,1405
869,1278
870,555
871,968
872,572
873,1182
874,523
875,346
876,412
877,583
878,1352
879,78
880,667
881,1045
882,421
883,811
884,2543
885,672
886,158
887,959
888,411
889,285
890,974
891,793
892,1904
893,569
894,452
895,715
896,304
897,1098
898,137
899,924
900,1454
901,760
902,852
903,152
904,1964
905,1042
906,1818
907,1272
908,446
909,833
910,821
911,797
912,946
913,277
914,270
915,1016
916,782
917,2120
918,218
919,1412
920,409
921,440
922,873
923,385
924,552
925,799
926,1086
927,441
928,461
929,2886
930,756
931,541
932,351
933,348
934,3572
935,243
936,1077
937,617
938,764
939,1573
940,596
941,1694
942,1284
943,6567
944,257
945,1126
946,302
947,585
948,283
949,536
950,3051
951,2161
952,1088
953,4367
954,2364
955,348
956,1771
957,516
958,1363
959,1929
960,1143
961,748
962,680
963,798
964,658
965,2359
966,763
967,545
968,523
969,515
970,547
971,952
972,603
973,1040
974,852
975,868
976,762
977,966
978,523
979,211
980,496
981,3351
982,123
983,545
984,494
985,1444
986,614
987,475
988,1025
989,1498
990,752
991,3243
992,129
993,1124
994,545
995,746
996,1440
997,919
998,206
999,771
