,MES_ANO,TOTAL_RECLAMACOES,MES
0,01/2017,16,1
1,01/2018,15,1
2,01/2019,14,1
3,01/2020,8,1
4,01/2021,14,1
5,01/2022,10,1
6,02/2016,1,2
7,02/2017,13,2
8,02/2018,15,2
9,02/2019,9,2
10,02/2020,12,2
11,02/2021,12,2
12,02/2022,16,2
13,03/2016,2,3
14,03/2017,19,3
15,03/2018,17,3
16,03/2019,17,3
17,03/2020,3,3
18,03/2021,15,3
19,03/2022,13,3
20,04/2016,1,4
21,04/2017,11,4
22,04/2018,26,4
23,04/2019,10,4
24,04/2020,11,4
25,04/2021,16,4
26,04/2022,16,4
27,05/2016,2,5
28,05/2017,17,5
29,05/2018,13,5
30,05/2019,9,5
31,05/2020,17,5
32,05/2021,20,5
33,05/2022,12,5
34,06/2016,3,6
35,06/2017,21,6
36,06/2018,12,6
37,06/2019,8,6
38,06/2020,13,6
39,06/2021,13,6
40,06/2022,15,6
41,07/2016,1,7
42,07/2017,16,7
43,07/2018,9,7
44,07/2019,12,7
45,07/2020,22,7
46,07/2021,17,7
47,07/2022,8,7
48,08/2016,3,8
49,08/2017,16,8
50,08/2018,12,8
51,08/2019,12,8
52,08/2020,15,8
53,08/2021,11,8
54,08/2022,15,8
55,09/2016,19,9
56,09/2017,19,9
57,09/2018,13,9
58,09/2019,7,9
59,09/2020,14,9
60,09/2021,14,9
61,09/2022,3,9
62,10/2016,12,10
63,10/2017,14,10
64,10/2018,8,10
65,10/2019,10,10
66,10/2020,13,10
67,10/2021,17,10
68,10/2022,1,10
69,11/2016,8,11
70,11/2017,18,11
71,11/2018,15,11
72,11/2019,8,11
73,11/2020,17,11
74,11/2021,15,11
75,11/2022,1,11
76,12/2016,17,12
77,12/2017,10,12
78,12/2018,18,12
79,12/2019,7,12
80,12/2020,13,12
81,12/2021,11,12
82,12/2022,2,12
