,MES_ANO,STATUS,ESTADO,TAMANHO_TEXTO
0,01/2017,Não resolvido,CE,1229
1,01/2017,Resolvido,PE,582
2,01/2017,Respondida,BA,1389
3,01/2017,Respondida,PE,2300
4,01/2017,Não resolvido,BA,1348
5,02/2017,Não resolvido,BA,1573
6,02/2017,Respondida,RN,1311
7,02/2017,Resolvido,BA,540
8,02/2017,Respondida,PE,686
9,02/2017,Resolvido,PE,841
10,03/2017,Respondida,PE,2644
11,03/2017,Em réplica,PE,733
12,03/2017,Não resolvido,CE,1454
13,03/2017,Respondida,SE,855
14,03/2017,Respondida,CE,515
15,03/2017,Não resolvido,CE,3255
16,03/2017,Em réplica,CE,2470
17,03/2017,Respondida,PE,871
18,03/2017,Respondida,CE,249
19,03/2017,Respondida,PE,2119
20,03/2017,Respondida,PE,863
21,03/2017,Respondida,PE,697
22,03/2017,Não resolvido,PE,3329
23,03/2017,Respondida,BA,2030
24,03/2017,Respondida,PE,674
25,04/2017,Respondida,PE,294
26,04/2017,Não resolvido,CE,622
27,04/2017,Resolvido,BA,881
28,04/2017,Respondida,SE,3913
29,04/2017,Respondida,SP,1748
30,04/2017,Respondida,CE,381
31,04/2017,Respondida,CE,2133
32,04/2017,Em réplica,CE,2746
33,04/2017,Em réplica,BA,1514
34,04/2017,Resolvido,PE,1546
35,04/2017,Em réplica,BA,888
36,04/2017,Respondida,RN,1133
37,04/2017,Respondida,PE,165
38,04/2017,Resolvido,SE,518
39,04/2017,Respondida,PE,1368
40,04/2017,Respondida,BA,645
41,04/2017,Respondida,PE,1185
42,04/2017,Não resolvido,PE,1244
43,05/2017,Respondida,BA,445
44,05/2017,Não resolvido,CE,4572
45,05/2017,Respondida,PE,890
46,05/2017,Respondida,PE,725
47,05/2017,Em réplica,CE,1422
48,05/2017,Não resolvido,PE,711
49,05/2017,Respondida,BA,1165
50,05/2017,Respondida,SE,1325
51,05/2017,Em réplica,PB,634
52,05/2017,Respondida,PE,768
53,05/2017,Resolvido,PE,1761
54,05/2017,Resolvido,PE,112
55,05/2017,Em réplica,BA,1962
56,05/2017,Respondida,RN,996
57,06/2017,Respondida,SE,486
58,06/2017,Respondida,PE,2529
59,06/2017,Não resolvido,BA,1551
60,06/2017,Respondida,PE,578
61,06/2017,Resolvido,PE,583
62,06/2017,Resolvido,CE,661
63,06/2017,Respondida,PE,1338
64,06/2017,Respondida,PE,177
65,06/2017,Em réplica,SE,968
66,06/2017,Respondida,PE,2379
67,06/2017,Respondida,PE,238
68,06/2017,Não resolvido,SE,1029
69,07/2017,Resolvido,PE,663
70,07/2017,Em réplica,BA,944
71,07/2017,Não resolvido,SE,4394
72,07/2017,Respondida,PE,3367
73,07/2017,Não resolvido,PE,1537
74,07/2017,Respondida,CE,1341
75,07/2017,Respondida,BA,1447
76,07/2017,Respondida,BA,877
77,07/2017,Resolvido,CE,693
78,07/2017,Não resolvido,BA,466
79,07/2017,Resolvido,PE,1940
80,07/2017,Não resolvido,PE,604
81,07/2017,Resolvido,PE,1285
82,07/2017,Respondida,RN,899
83,07/2017,Resolvido,SP,601
84,07/2017,Respondida,CE,571
85,08/2017,Em réplica,PE,836
86,08/2017,Resolvido,PE,438
87,08/2017,Em réplica,PB,1202
88,08/2017,Respondida,PE,2559
89,08/2017,Não resolvido,PB,739
90,08/2017,Respondida,CE,619
91,08/2017,Resolvido,PE,1013
